['2020-01-23', 'novel', 60]
['2020-01-23', 'where', 92]
['2020-01-23', 'medical', 60]
['2020-01-23', 'first', 121]
['2020-01-23', 'symptoms', 118]
['2020-01-23', 'person', 45]
['2020-01-23', 'ministry', 51]
['2020-01-23', 'hospital', 69]
['2020-01-23', 'international', 96]
['2020-01-23', 'number', 48]
['2020-01-23', 'markets', 37]
['2020-01-23', 'minister', 47]
['2020-01-23', 'epidemic', 34]
['2020-01-23', 'severe', 44]
['2020-01-23', 'reuters', 38]
['2020-01-23', 'according', 66]
['2020-01-23', 'february', 8]
['2020-01-23', 'positive', 35]
['2020-01-23', 'central', 73]
['2020-01-23', 'three', 41]
['2020-01-23', 'government', 66]
['2020-01-24', 'coronavirus', 273]
['2020-01-24', 'people', 188]
['2020-01-24', 'infected', 51]
['2020-01-24', 'china', 180]
['2020-01-24', 'authorities', 45]
['2020-01-24', 'deadly', 42]
['2020-01-24', 'wuhan', 174]
['2020-01-24', 'country', 18]
['2020-01-24', 'travel', 50]
['2020-01-24', 'being', 68]
['2020-01-24', 'where', 45]
['2020-01-24', 'virus', 164]
['2020-01-24', 'hospital', 56]
['2020-01-24', 'symptoms', 46]
['2020-01-24', 'health', 192]
['2020-01-24', 'confirmed', 85]
['2020-01-24', 'cases', 106]
['2020-01-24', 'patients', 38]
['2020-01-24', 'first', 40]
['2020-01-24', 'global', 39]
['2020-01-24', 'world', 56]
['2020-01-24', 'outbreak', 110]
['2020-01-24', 'international', 30]
['2020-01-24', 'public', 81]
['2020-01-24', 'spread', 68]
['2020-01-24', 'disease', 39]
['2020-01-24', 'deaths', 18]
['2020-01-24', 'medical', 25]
['2020-01-24', 'state', 27]
['2020-01-24', 'control', 22]
['2020-01-24', 'officials', 57]
['2020-01-24', 'according', 28]
['2020-01-24', 'ministry', 12]
['2020-01-24', 'including', 36]
['2020-01-24', 'person', 9]
['2020-01-24', 'united', 14]
['2020-01-24', 'states', 14]
['2020-01-24', 'severe', 8]
['2020-01-24', 'novel', 19]
['2020-01-24', 'chinese', 114]
['2020-01-24', 'three', 17]
['2020-01-24', 'measures', 15]
['2020-01-24', 'reported', 46]
['2020-01-24', 'number', 15]
['2020-01-24', 'death', 27]
['2020-01-24', 'epidemic', 13]
['2020-01-24', 'tested', 48]
['2020-01-24', 'government', 26]
['2020-01-24', 'minister', 11]
['2020-01-24', 'positive', 9]
['2020-01-24', 'central', 28]
['2020-01-24', 'countries', 20]
['2020-01-24', 'markets', 15]
['2020-01-24', 'reuters', 6]
['2020-01-24', 'february', 3]
['2020-01-25', 'coronavirus', 148]
['2020-01-25', 'infected', 25]
['2020-01-25', 'people', 78]
['2020-01-25', 'outbreak', 36]
['2020-01-25', 'chinese', 37]
['2020-01-25', 'wuhan', 84]
['2020-01-25', 'cases', 43]
['2020-01-25', 'confirmed', 44]
['2020-01-25', 'china', 68]
['2020-01-25', 'travel', 24]
['2020-01-25', 'united', 7]
['2020-01-25', 'states', 9]
['2020-01-25', 'where', 17]
['2020-01-25', 'global', 8]
['2020-01-25', 'health', 54]
['2020-01-25', 'disease', 19]
['2020-01-25', 'control', 12]
['2020-01-25', 'virus', 57]
['2020-01-25', 'state', 17]
['2020-01-25', 'officials', 26]
['2020-01-25', 'first', 25]
['2020-01-25', 'person', 13]
['2020-01-25', 'three', 22]
['2020-01-25', 'according', 11]
['2020-01-25', 'epidemic', 9]
['2020-01-25', 'spread', 25]
['2020-01-25', 'measures', 8]
['2020-01-25', 'death', 11]
['2020-01-25', 'authorities', 10]
['2020-01-25', 'deadly', 20]
